             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          10285115    shared interact yli247@j CG      10:38      1 compute0062
        9942601_12    shared     SNPs reggebe1 CG       5:07      1 compute0064
          10807113    shared Pe938147 mconte@u PD       0:00      1 (Priority)
          10807114    shared P4165c8c mconte@u PD       0:00      1 (Priority)
          10807115    shared P3c1fc22 mconte@u PD       0:00      1 (Priority)
          10807111    shared P361dbe5 mconte@u PD       0:00      1 (Priority)
          10807112    shared Pb3b7d9f mconte@u PD       0:00      1 (Priority)
          10807110    shared P69a2c0b mconte@u PD       0:00      1 (Priority)
          10807107    shared Pb42caa2 mconte@u PD       0:00      1 (Priority)
          10807108    shared Pcf6a811 mconte@u PD       0:00      1 (Priority)
          10807109    shared P74d3b05 mconte@u PD       0:00      1 (Priority)
          10807104    shared Pcffb246 mconte@u PD       0:00      1 (Priority)
          10807105    shared P5213367 mconte@u PD       0:00      1 (Priority)
          10807106    shared Pf8c96c8 mconte@u PD       0:00      1 (Priority)
          10807102    shared P8538cfe mconte@u PD       0:00      1 (Resources)
          10807103    shared Pcad56b1 mconte@u PD       0:00      1 (Priority)
          10807151    shared P0fdff7c mconte@u PD       0:00      1 (Priority)
          10807161    shared P5ff2a77 mconte@u PD       0:00      1 (Priority)
          10807162    shared P3ad0b67 mconte@u PD       0:00      1 (Priority)
          10807168    shared Pae7c2d0 mconte@u PD       0:00      1 (Priority)
          10807169    shared P01d8229 mconte@u PD       0:00      1 (Priority)
          10807171    shared Pafcddaf mconte@u PD       0:00      1 (Priority)
          10807172    shared P05da7cc mconte@u PD       0:00      1 (Priority)
          10807175    shared P1352a5a mconte@u PD       0:00      1 (Priority)
          10807181    shared P6caac72 mconte@u PD       0:00      1 (Priority)
          10807188    shared P9b29d84 mconte@u PD       0:00      1 (Priority)
          10807190    shared Pebd5080 mconte@u PD       0:00      1 (Priority)
          10807191    shared Pee938db mconte@u PD       0:00      1 (Priority)
          10807192    shared P192b9f2 mconte@u PD       0:00      1 (Priority)
          10807194    shared P5613aa9 mconte@u PD       0:00      1 (Priority)
          10807196    shared P0ea8704 mconte@u PD       0:00      1 (Priority)
          10807200    shared P7c7bc8a mconte@u PD       0:00      1 (Priority)
          10807264    shared Pffaa7bf mconte@u PD       0:00      1 (Priority)
          10807266    shared P7132734 mconte@u PD       0:00      1 (Priority)
          10807267    shared P5201602 mconte@u PD       0:00      1 (Priority)
          10807282    shared P09e9738 mconte@u PD       0:00      1 (Priority)
          10807283    shared P21dc909 mconte@u PD       0:00      1 (Priority)
          10807284    shared Pe39eff7 mconte@u PD       0:00      1 (Priority)
          10807286    shared Pb41ad3b mconte@u PD       0:00      1 (Priority)
          10807290    shared P3696993 mconte@u PD       0:00      1 (Priority)
          10807291    shared Pbfcd47a mconte@u PD       0:00      1 (Priority)
          10807293    shared P8726257 mconte@u PD       0:00      1 (Priority)
          10807294    shared P8261170 mconte@u PD       0:00      1 (Priority)
          10807295    shared Pf0cc738 mconte@u PD       0:00      1 (Priority)
          10807297    shared P6da84bb mconte@u PD       0:00      1 (Priority)
          10807298    shared Pcb65bdb mconte@u PD       0:00      1 (Priority)
          10807300    shared P4cb6e5e mconte@u PD       0:00      1 (Priority)
          10807301    shared P941ca31 mconte@u PD       0:00      1 (Priority)
          10807303    shared P8ba091f mconte@u PD       0:00      1 (Priority)
          10807305    shared P2ef13c0 mconte@u PD       0:00      1 (Priority)
          10807306    shared P276ab25 mconte@u PD       0:00      1 (Priority)
          10807307    shared Pe00c98c mconte@u PD       0:00      1 (Priority)
          10807309    shared Pe17e9cd mconte@u PD       0:00      1 (Priority)
          10807312    shared P9718802 mconte@u PD       0:00      1 (Priority)
          10807313    shared P12e6e13 mconte@u PD       0:00      1 (Priority)
          10807314    shared P1199f08 mconte@u PD       0:00      1 (Priority)
          10807315    shared P8cda2ca mconte@u PD       0:00      1 (Priority)
          10807317    shared Pc0f53aa mconte@u PD       0:00      1 (Priority)
          10807318    shared P258f1b2 mconte@u PD       0:00      1 (Priority)
          10807319    shared P246ef3b mconte@u PD       0:00      1 (Priority)
          10807321    shared P903b921 mconte@u PD       0:00      1 (Priority)
          10807322    shared P300b58c mconte@u PD       0:00      1 (Priority)
          10807325    shared P4fd62ff mconte@u PD       0:00      1 (Priority)
          10807328    shared Pb58ec03 mconte@u PD       0:00      1 (Priority)
          10807329    shared P3d3c252 mconte@u PD       0:00      1 (Priority)
          10807331    shared P960e1f3 mconte@u PD       0:00      1 (Priority)
          10807335    shared P0991313 mconte@u PD       0:00      1 (Priority)
          10807336    shared Pdb1b6e2 mconte@u PD       0:00      1 (Priority)
          10807348    shared P3c2f5d5 mconte@u PD       0:00      1 (Priority)
          10807349    shared P7f15558 mconte@u PD       0:00      1 (Priority)
          10807351    shared P2265509 mconte@u PD       0:00      1 (Priority)
          10807352    shared Pa753406 mconte@u PD       0:00      1 (Priority)
          10807353    shared Pe6dba82 mconte@u PD       0:00      1 (Priority)
          10807355    shared P8b85c1c mconte@u PD       0:00      1 (Priority)
          10807356    shared P4823d7e mconte@u PD       0:00      1 (Priority)
          10807359    shared P4bbefc4 mconte@u PD       0:00      1 (Priority)
          10807360    shared P0ec9b12 mconte@u PD       0:00      1 (Priority)
          10807362    shared Pf76582b mconte@u PD       0:00      1 (Priority)
          10807363    shared P2143f9f mconte@u PD       0:00      1 (Priority)
          10807364    shared Pc25a3f0 mconte@u PD       0:00      1 (Priority)
          10807366    shared P29986be mconte@u PD       0:00      1 (Priority)
          10807368    shared Pa0dce26 mconte@u PD       0:00      1 (Priority)
          10807375    shared P214cad5 mconte@u PD       0:00      1 (Priority)
          10807376    shared P1a6a91a mconte@u PD       0:00      1 (Priority)
          10807379    shared P0008e36 mconte@u PD       0:00      1 (Priority)
          10807383    shared P7614c4b mconte@u PD       0:00      1 (Priority)
          10807384    shared P6ec79aa mconte@u PD       0:00      1 (Priority)
          10807385    shared P0e0881d mconte@u PD       0:00      1 (Priority)
          10807387    shared Pdf5077e mconte@u PD       0:00      1 (Priority)
          10807388    shared P22fc65f mconte@u PD       0:00      1 (Priority)
          10807389    shared Pbbe85d6 mconte@u PD       0:00      1 (Priority)
          10807390    shared P0484a5d mconte@u PD       0:00      1 (Priority)
          10807391    shared Pfc6b990 mconte@u PD       0:00      1 (Priority)
          10807392    shared P46704e4 mconte@u PD       0:00      1 (Priority)
          10807393    shared P749b683 mconte@u PD       0:00      1 (Priority)
          10807394    shared P534561a mconte@u PD       0:00      1 (Priority)
          10807302    shared     Play charman1 PD       0:00      1 (Priority)
          10807372    shared    align ilee29@j PD       0:00      1 (Priority)
          10806109    shared Dyn_Comp fhuq2@jh PD       0:00     16 (Priority)
          10803775    shared     QS23 skotha1@ PD       0:00      3 (Priority)
          10803776    shared     QS23 skotha1@ PD       0:00      3 (Priority)
          10804466    shared       R5 gaojian@ PD       0:00      5 (Priority)
          10804469    shared       R1 gaojian@ PD       0:00      5 (Priority)
          10804471    shared       R7 gaojian@ PD       0:00      5 (Priority)
          10804769    shared       R6 gaojian@ PD       0:00      5 (Priority)
          10804781    shared     FIX6 gaojian@ PD       0:00      5 (Priority)
          10804783    shared       R3 gaojian@ PD       0:00      5 (Priority)
          10804785    shared     FIX3 gaojian@ PD       0:00      5 (Priority)
          10804793    shared   FIX3-2 gaojian@ PD       0:00      5 (Priority)
          10804794    shared   FIX9-2 gaojian@ PD       0:00      5 (Priority)
          10804804    shared   FIX5-2 gaojian@ PD       0:00      5 (Priority)
          10805308    shared     FIX5 gaojian@ PD       0:00      5 (Priority)
          10805446    shared       R9 gaojian@ PD       0:00      5 (Priority)
          10805500    shared   FIX7-2 gaojian@ PD       0:00      5 (Priority)
          10806092    shared   FIX6-2 gaojian@ PD       0:00      5 (Priority)
          10806134    shared     FIX7 gaojian@ PD       0:00      5 (Priority)
          10806157    shared     FIX9 gaojian@ PD       0:00      5 (Priority)
          10806159    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806215    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806216    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806222    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806223    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806230    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806232    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806233    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806237    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806238    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806245    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806253    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806254    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806255    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806256    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806257    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806258    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806322    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806328    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806436    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806487    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10806615    shared    lddmm    lddmm PD       0:00      1 (Priority)
